"id","createdAt","inReplyToScreenName","inReplyToStatusId","inReplyToUserId","retweetCount","source","text"
"802285813186736128","Fri Nov 25 18:00:18 EST 2016",,"-1","-1","17","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Quitting cold turkey doesn’t work for most people. Proven strategies to help you stop smoking for good:… https://t.co/Y67AH9K9WK"
"802256564082053120","Fri Nov 25 16:04:04 EST 2016",,"-1","-1","395","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Atherosclerosis happens when a fatty material called plaque builds up in the walls inside your arteries. Here's wha… https://t.co/26mwfsxTxd"
"802240548786544641","Fri Nov 25 15:00:26 EST 2016",,"-1","-1","27","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Chew too much sugar-free gum made with sorbitol and you might get cramps and diarrhea. https://t.co/1cDZHmYcCL https://t.co/keFLqPscKQ"
"802217898265735168","Fri Nov 25 13:30:26 EST 2016",,"-1","-1","42","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sweet cherries, sour cherries, dried cherries, and cherry juice -- they’re all good for your heart.… https://t.co/ovbwPGte9X"
"802195440443805696","Fri Nov 25 12:01:11 EST 2016",,"-1","-1","14","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Things get a little hot in the kitchen? Here's how to treat a minor burn. https://t.co/IRYjSpVapV https://t.co/y2NI04G6iY"
"802180157712846848","Fri Nov 25 11:00:28 EST 2016",,"-1","-1","28","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","You might soon be able to control ""bad"" LDL cholesterol by getting a shot two or three times a year.… https://t.co/b0NLfYwjUw"
"802165059564797952","Fri Nov 25 10:00:28 EST 2016",,"-1","-1","18","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A turkey sandwich and other foods to eat when you have the flu: https://t.co/lIEQsNZr09 https://t.co/UOrwMTOO6S"
"802149998079119361","Fri Nov 25 09:00:37 EST 2016",,"-1","-1","7","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Strange dreams? It could have been something you smelled. https://t.co/ewYPyGNJuf https://t.co/XhoSuYqXqq"
"802119989398568960","Fri Nov 25 07:01:22 EST 2016",,"-1","-1","39","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Want to get moving after yesterday's feast? Here's what to know before you pound the pavement.… https://t.co/AhofXFQhSF"
"802029134901821440","Fri Nov 25 01:00:21 EST 2016",,"-1","-1","46","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Carpal tunnel develops slowly. At first, you're most likely to notice it at night or when you wake up in the AM:… https://t.co/PYQ7i9VUYg"
"802012965302128640","Thu Nov 24 23:56:06 EST 2016",,"-1","-1","24","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","You’re doing more harm than good when you wash raw chicken or meat. Learn more about food safety:… https://t.co/GDI4peua2k"
"802006430609973248","Thu Nov 24 23:30:08 EST 2016",,"-1","-1","38","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sooner or later, 8 out of 10 of us will have back pain. And back pain myths are almost as common:… https://t.co/QqcKeXZTsA"
